HomeName,AwayHome,Possibility of Home Win,Possibility of Draw,Possibility of Away Win,MostLikely Result,Mostlikely Result Possibility
Liverpool,Brighton,1.0,0.0,0.0,2 vs 1,1.0
Liverpool,Aston Villa,0.7055582560696049,0.1816424223022245,0.11277973393137264,2 vs 0,0.1270849619897797
Liverpool,Sheffield United,1.0,0.0,0.0,2 vs 0,1.0
Liverpool,Norwich,1.0,0.0,0.0,4 vs 1,1.0
Liverpool,West Ham,1.0,0.0,0.0,3 vs 2,1.0
Liverpool,Newcastle,1.0,0.0,0.0,3 vs 1,1.0
Liverpool,Leicester,1.0,0.0,0.0,2 vs 1,1.0
Liverpool,Burnley,0.7708015039271776,0.15332167217532966,0.07583548867921515,2 vs 0,0.1427623762507725
Liverpool,Tottenham,1.0,0.0,0.0,2 vs 1,1.0
Liverpool,Man United,1.0,0.0,0.0,2 vs 0,1.0
Liverpool,Bournemouth,1.0,0.0,0.0,2 vs 1,1.0
Liverpool,Crystal Palace,0.6828562774239102,0.19241736087929778,0.12471323487679685,2 vs 0,0.12534715459700616
Liverpool,Southampton,1.0,0.0,0.0,4 vs 0,1.0
Liverpool,Watford,1.0,0.0,0.0,2 vs 0,1.0
Liverpool,Wolves,1.0,0.0,0.0,1 vs 0,1.0
Liverpool,Arsenal,1.0,0.0,0.0,3 vs 1,1.0
Liverpool,Chelsea,0.4275222501512282,0.27560322339114696,0.2968743523303271,1 vs 1,0.1296046340173839
Liverpool,Everton,1.0,0.0,0.0,5 vs 2,1.0
Liverpool,Man City,1.0,0.0,0.0,3 vs 1,1.0
Brighton,Liverpool,0.18612892298355047,0.23175318904529518,0.582115194620799,0 vs 1,0.12377331776946147
Brighton,Aston Villa,0.0,1.0,0.0,1 vs 1,1.0
Brighton,Sheffield United,0.0,0.0,1.0,0 vs 1,1.0
Brighton,Norwich,1.0,0.0,0.0,2 vs 0,1.0
Brighton,West Ham,0.0,1.0,0.0,1 vs 1,1.0
Brighton,Newcastle,0.3825948872947509,0.273464740620453,0.3439402167113881,1 vs 1,0.12952027998691057
Brighton,Leicester,0.0,0.0,1.0,0 vs 2,1.0
Brighton,Burnley,0.0,1.0,0.0,1 vs 1,1.0
Brighton,Tottenham,1.0,0.0,0.0,3 vs 0,1.0
Brighton,Man United,0.15444991352097637,0.21705097775949747,0.6284942346126196,0 vs 1,0.1272632063671121
Brighton,Bournemouth,1.0,0.0,0.0,2 vs 0,1.0
Brighton,Crystal Palace,0.0,0.0,1.0,0 vs 1,1.0
Brighton,Southampton,0.0,0.0,1.0,0 vs 2,1.0
Brighton,Watford,0.0,1.0,0.0,1 vs 1,1.0
Brighton,Wolves,0.0,1.0,0.0,2 vs 2,1.0
Brighton,Arsenal,0.18044146425803922,0.22314160606563607,0.5964127001900073,0 vs 1,0.11634629931831329
Brighton,Chelsea,0.0,1.0,0.0,1 vs 1,1.0
Brighton,Everton,1.0,0.0,0.0,3 vs 2,1.0
Brighton,Man City,0.20591986771709123,0.23579792760974433,0.558279902280774,0 vs 1,0.11710722120148813
Aston Villa,Liverpool,0.0,0.0,1.0,1 vs 2,1.0
Aston Villa,Brighton,1.0,0.0,0.0,2 vs 1,1.0
Aston Villa,Sheffield United,0.4811691953971599,0.30996942008106004,0.2088613352735577,1 vs 0,0.18707844320052913
Aston Villa,Norwich,1.0,0.0,0.0,1 vs 0,1.0
Aston Villa,West Ham,0.0,1.0,0.0,0 vs 0,1.0
Aston Villa,Newcastle,1.0,0.0,0.0,2 vs 0,1.0
Aston Villa,Leicester,0.0,0.0,1.0,1 vs 4,1.0
Aston Villa,Burnley,0.0,1.0,0.0,2 vs 2,1.0
Aston Villa,Tottenham,0.0,0.0,1.0,2 vs 3,1.0
Aston Villa,Man United,0.19651961678208557,0.24333419142464038,0.5601447153255082,0 vs 1,0.13162141261254667
Aston Villa,Bournemouth,0.0,0.0,1.0,1 vs 2,1.0
Aston Villa,Crystal Palace,0.39816732807592736,0.2714879839169321,0.3303445027758326,1 vs 1,0.12872012659962495
Aston Villa,Southampton,0.0,0.0,1.0,1 vs 3,1.0
Aston Villa,Watford,1.0,0.0,0.0,2 vs 1,1.0
Aston Villa,Wolves,0.46834803292114646,0.26495703352259997,0.2666945414061933,1 vs 1,0.12536501497888614
Aston Villa,Arsenal,0.22733280782107443,0.24641596208414707,0.5262499472789876,0 vs 1,0.11893500026069145
Aston Villa,Chelsea,0.19223486543815163,0.25112982285783375,0.5566343480684433,0 vs 1,0.14322747869789962
Aston Villa,Everton,1.0,0.0,0.0,2 vs 0,1.0
Aston Villa,Man City,0.0,0.0,1.0,1 vs 6,1.0
Sheffield United,Liverpool,0.0,0.0,1.0,0 vs 1,1.0
Sheffield United,Brighton,0.0,1.0,0.0,1 vs 1,1.0
Sheffield United,Aston Villa,1.0,0.0,0.0,2 vs 0,1.0
Sheffield United,Norwich,1.0,0.0,0.0,1 vs 0,1.0
Sheffield United,West Ham,1.0,0.0,0.0,1 vs 0,1.0
Sheffield United,Newcastle,0.0,0.0,1.0,0 vs 2,1.0
Sheffield United,Leicester,0.0,0.0,1.0,1 vs 2,1.0
Sheffield United,Burnley,1.0,0.0,0.0,3 vs 0,1.0
Sheffield United,Tottenham,0.34873672421104546,0.28513056699595485,0.3661326333113183,1 vs 1,0.13290055952221472
Sheffield United,Man United,0.0,1.0,0.0,3 vs 3,1.0
Sheffield United,Bournemouth,1.0,0.0,0.0,2 vs 1,1.0
Sheffield United,Crystal Palace,1.0,0.0,0.0,1 vs 0,1.0
Sheffield United,Southampton,0.0,0.0,1.0,0 vs 1,1.0
Sheffield United,Watford,0.0,1.0,0.0,1 vs 1,1.0
Sheffield United,Wolves,0.48862833889018886,0.27311563190112614,0.23825574991258336,1 vs 0,0.14255333027511838
Sheffield United,Arsenal,1.0,0.0,0.0,1 vs 0,1.0
Sheffield United,Chelsea,0.21474746644576026,0.2769089381102547,0.5083433478573625,0 vs 1,0.15740404482539688
Sheffield United,Everton,0.39533914891936994,0.3007696513710373,0.30389116203600053,1 vs 0,0.14198861777431912
Sheffield United,Man City,0.0,0.0,1.0,0 vs 1,1.0
Norwich,Liverpool,0.0,0.0,1.0,0 vs 1,1.0
Norwich,Brighton,0.46894554097648883,0.2703439395410791,0.26071022473974365,1 vs 0,0.13060370259876095
Norwich,Aston Villa,0.0,0.0,1.0,1 vs 5,1.0
Norwich,Sheffield United,0.0,0.0,1.0,1 vs 2,1.0
Norwich,West Ham,0.41061995790849065,0.2560616188880631,0.33331792790470705,1 vs 1,0.12139674553078719
Norwich,Newcastle,1.0,0.0,0.0,3 vs 1,1.0
Norwich,Leicester,1.0,0.0,0.0,1 vs 0,1.0
Norwich,Burnley,0.47259612059703077,0.2507907122413631,0.2766122756549097,1 vs 1,0.11909016187719272
Norwich,Tottenham,0.0,1.0,0.0,2 vs 2,1.0
Norwich,Man United,0.0,0.0,1.0,1 vs 3,1.0
Norwich,Bournemouth,1.0,0.0,0.0,1 vs 0,1.0
Norwich,Crystal Palace,0.0,1.0,0.0,1 vs 1,1.0
Norwich,Southampton,0.3686750002020254,0.2646090479996428,0.36671568949125305,1 vs 1,0.12585866091929132
Norwich,Watford,0.0,0.0,1.0,0 vs 2,1.0
Norwich,Wolves,0.0,0.0,1.0,1 vs 2,1.0
Norwich,Arsenal,0.0,1.0,0.0,2 vs 2,1.0
Norwich,Chelsea,0.0,0.0,1.0,2 vs 3,1.0
Norwich,Everton,0.3389256109986265,0.2643759645074444,0.3966981431377738,1 vs 1,0.12574751202412665
Norwich,Man City,1.0,0.0,0.0,3 vs 2,1.0
West Ham,Liverpool,0.0,0.0,1.0,0 vs 2,1.0
West Ham,Brighton,0.0,1.0,0.0,3 vs 3,1.0
West Ham,Aston Villa,0.4322036177811541,0.24914978321745007,0.3186457646555967,1 vs 1,0.11730833564146552
West Ham,Sheffield United,0.0,1.0,0.0,1 vs 1,1.0
West Ham,Norwich,1.0,0.0,0.0,2 vs 0,1.0
West Ham,Newcastle,0.0,0.0,1.0,2 vs 3,1.0
West Ham,Leicester,0.0,0.0,1.0,1 vs 2,1.0
West Ham,Burnley,0.5207963732120432,0.24269885525879906,0.23650318013925897,1 vs 1,0.11535333038081207
West Ham,Tottenham,0.0,0.0,1.0,2 vs 3,1.0
West Ham,Man United,1.0,0.0,0.0,2 vs 0,1.0
West Ham,Bournemouth,1.0,0.0,0.0,4 vs 0,1.0
West Ham,Crystal Palace,0.0,0.0,1.0,1 vs 2,1.0
West Ham,Southampton,1.0,0.0,0.0,3 vs 1,1.0
West Ham,Watford,0.5132054963248482,0.24652553760219764,0.24026770212564402,1 vs 1,0.11725112694575227
West Ham,Wolves,0.48322344773525205,0.24530190029291132,0.2714733713481811,1 vs 1,0.11604096736229189
West Ham,Arsenal,0.0,0.0,1.0,1 vs 3,1.0
West Ham,Chelsea,0.18916392944651875,0.2283841747885445,0.5824485970728579,0 vs 1,0.1175654779794052
West Ham,Everton,0.0,1.0,0.0,1 vs 1,1.0
West Ham,Man City,0.0,0.0,1.0,0 vs 5,1.0
Newcastle,Liverpool,0.2705310795950302,0.24988969797860738,0.4795782592422645,1 vs 1,0.11868547878104217
Newcastle,Brighton,0.0,1.0,0.0,0 vs 0,1.0
Newcastle,Aston Villa,0.4773311753442018,0.24849522860500087,0.2741725575370132,1 vs 1,0.11785050796535641
Newcastle,Sheffield United,0.5376038837025807,0.279305127439081,0.18309075507470923,1 vs 0,0.17743811864725548
Newcastle,Norwich,0.0,1.0,0.0,0 vs 0,1.0
Newcastle,West Ham,0.5022407578747559,0.25004496733371306,0.2477132611732994,1 vs 1,0.1189309971003937
Newcastle,Leicester,0.0,0.0,1.0,0 vs 3,1.0
Newcastle,Burnley,0.0,1.0,0.0,0 vs 0,1.0
