HomeName,AwayHome,FTR,HomeGoals,AwayGoals
Liverpool,Brighton,H,2,1
Liverpool,Aston Villa,H,2,0
Liverpool,Sheffield United,H,2,0
Liverpool,Norwich,H,4,1
Liverpool,West Ham,H,3,2
Liverpool,Newcastle,H,3,1
Liverpool,Leicester,H,2,1
Liverpool,Burnley,H,2,0
Liverpool,Tottenham,H,2,1
Liverpool,Man United,H,2,0
Liverpool,Bournemouth,H,2,1
Liverpool,Crystal Palace,H,2,0
Liverpool,Southampton,H,4,0
Liverpool,Watford,H,2,0
Liverpool,Wolves,H,1,0
Liverpool,Arsenal,H,3,1
Liverpool,Chelsea,D,1,1
Liverpool,Everton,H,5,2
Liverpool,Man City,H,3,1
Brighton,Liverpool,A,0,1
Brighton,Aston Villa,D,1,1
Brighton,Sheffield United,A,0,1
Brighton,Norwich,H,2,0
Brighton,West Ham,D,1,1
Brighton,Newcastle,D,1,1
Brighton,Leicester,A,0,2
Brighton,Burnley,D,1,1
Brighton,Tottenham,H,3,0
Brighton,Man United,A,0,1
Brighton,Bournemouth,H,2,0
Brighton,Crystal Palace,A,0,1
Brighton,Southampton,A,0,2
Brighton,Watford,D,1,1
Brighton,Wolves,D,2,2
Brighton,Arsenal,A,0,1
Brighton,Chelsea,D,1,1
Brighton,Everton,H,3,2
Brighton,Man City,A,0,1
Aston Villa,Liverpool,A,1,2
Aston Villa,Brighton,H,2,1
Aston Villa,Sheffield United,H,1,0
Aston Villa,Norwich,H,1,0
Aston Villa,West Ham,D,0,0
Aston Villa,Newcastle,H,2,0
Aston Villa,Leicester,A,1,4
Aston Villa,Burnley,D,2,2
Aston Villa,Tottenham,A,2,3
Aston Villa,Man United,A,0,1
Aston Villa,Bournemouth,A,1,2
Aston Villa,Crystal Palace,D,1,1
Aston Villa,Southampton,A,1,3
Aston Villa,Watford,H,2,1
Aston Villa,Wolves,D,1,1
Aston Villa,Arsenal,A,0,1
Aston Villa,Chelsea,A,0,1
Aston Villa,Everton,H,2,0
Aston Villa,Man City,A,1,6
Sheffield United,Liverpool,A,0,1
Sheffield United,Brighton,D,1,1
Sheffield United,Aston Villa,H,2,0
Sheffield United,Norwich,H,1,0
Sheffield United,West Ham,H,1,0
Sheffield United,Newcastle,A,0,2
Sheffield United,Leicester,A,1,2
Sheffield United,Burnley,H,3,0
Sheffield United,Tottenham,D,1,1
Sheffield United,Man United,D,3,3
Sheffield United,Bournemouth,H,2,1
Sheffield United,Crystal Palace,H,1,0
Sheffield United,Southampton,A,0,1
Sheffield United,Watford,D,1,1
Sheffield United,Wolves,H,1,0
Sheffield United,Arsenal,H,1,0
Sheffield United,Chelsea,A,0,1
Sheffield United,Everton,H,1,0
Sheffield United,Man City,A,0,1
Norwich,Liverpool,A,0,1
Norwich,Brighton,H,1,0
Norwich,Aston Villa,A,1,5
Norwich,Sheffield United,A,1,2
Norwich,West Ham,D,1,1
Norwich,Newcastle,H,3,1
Norwich,Leicester,H,1,0
Norwich,Burnley,D,1,1
Norwich,Tottenham,D,2,2
Norwich,Man United,A,1,3
Norwich,Bournemouth,H,1,0
Norwich,Crystal Palace,D,1,1
Norwich,Southampton,D,1,1
Norwich,Watford,A,0,2
Norwich,Wolves,A,1,2
Norwich,Arsenal,D,2,2
Norwich,Chelsea,A,2,3
Norwich,Everton,D,1,1
Norwich,Man City,H,3,2
West Ham,Liverpool,A,0,2
West Ham,Brighton,D,3,3
West Ham,Aston Villa,D,1,1
